,noticeID,wetland_type,impact_duration,impact_quantity,impact_unit,impact_type,impact_type_clean
0,Notice_NO_6585,jurisdictional wetland,permanent,9.85,acres,loss,LOSS
1,Notice_NO_6578,dock slip,unknown,74643.0,cubic yards,dredging,UNCATEGORIZED
2,Notice_NO_6594,section 10 water,unknown,,unknown,structures,UNCATEGORIZED
3,Notice_NO_6589,wetland,unknown,2.79,acres,fill,LOSS
4,Notice_NO_6589,wetland,unknown,0.61,acres,fill,LOSS
5,Notice_NO_6589,wetland,unknown,2.18,acres,fill,LOSS
6,Notice_NO_6566,bulkhead,unknown,62.0,feet,expand,UNCATEGORIZED
7,Notice_NO_6566,fill,unknown,740.0,cubic yards,install,UNCATEGORIZED
8,Notice_NO_6566,fireboatdock,unknown,,unknown,demolish,UNCATEGORIZED
9,Notice_NO_6566,pier,unknown,124.0,other,install,UNCATEGORIZED
10,Notice_NO_6566,mooring dock,unknown,554.0,feet,install,UNCATEGORIZED
11,Notice_NO_6566,dolphin,unknown,6.0,unknown,install,UNCATEGORIZED
12,Notice_NO_6555,palustrine forested wetland,permanent,1.58,acres,fill,LOSS
13,Notice_NO_6555,flat creek,unknown,147.0,feet,fill,UNCATEGORIZED
14,Notice_NO_6603,non-vegetated water bottom,unknown,0.01,acres,"rip rap, hauled-in fill material, and concrete installation",LOSS
15,Notice_NO_6603,jurisdictional batture,unknown,0.5,acres,"rip rap, hauled-in fill material, and concrete installation",LOSS
16,Notice_NO_6603,forested batture wetland,unknown,1.0,acres,project implementation,UNCATEGORIZED
17,Notice_NO_6553,palustrine forested wetland,unknown,1.99,acres,fill material,LOSS
18,Notice_NO_6553,palustrine forested wetland,unknown,6.09,acres,construction of stormwater pond,UNCATEGORIZED
19,Notice_NO_6553,palustrine forested wetland,unknown,2.6,acres,secondary impacts associated with roadway construction,LOSS
20,Notice_NO_6553,palustrine forested wetland,unknown,2.2,acres,secondary impacts associated with stormwater pond construction,LOSS
21,Notice_NO_6570,bayou petit caillou,temporary,3.2,acres,loss,UNCATEGORIZED
22,Notice_NO_6570,non-wetland water bottoms (nww),temporary,3.2,acres,loss,LOSS
23,Notice_NO_6574,wetland,unknown,29.3,acres,loss,LOSS
24,Notice_NO_6579,waterbottom,unknown,0.07,acres,placement of rip rap,UNCATEGORIZED
25,Notice_NO_6579,waterbottom,unknown,0.58,acres,hydraulic dredging,LOSS
26,Notice_NO_6579,waterbottom,unknown,0.54,acres,placement of dredged sand material,LOSS
27,Notice_NO_6576,community marina a,unknown,9000.0,cubic yards,excavation,UNCATEGORIZED
28,Notice_NO_6576,community marina a,unknown,100.0,cubic yards,dredge,UNCATEGORIZED
29,Notice_NO_6576,community marina b,unknown,,acres,construction,UNCATEGORIZED
30,Notice_NO_6604,forested wetland,unknown,670.0,acres,construction,UNCATEGORIZED
31,Notice_NO_6604,wetland,unknown,42.41,acres,direct impact,LOSS
32,Notice_NO_6572,jurisdictional wetland,unknown,5.42,acres,direct impact,LOSS
33,Notice_NO_6599,jurisdictional wetland,unknown,3.2,acres,fill,LOSS
34,Notice_NO_6556,waterbottom,unknown,0.03,acres,placement of rip rap,UNCATEGORIZED
35,Notice_NO_6556,waterbottom,unknown,0.36,acres,hydraulic dredging,LOSS
36,Notice_NO_6556,waterbottom,unknown,0.33,acres,placement of dredged sand material,LOSS
37,Notice_NO_6587,inlet,unknown,2.9,acres,fill,UNCATEGORIZED
38,Notice_NO_6558,beach,unknown,3.3,acres,sand placement,UNCATEGORIZED
39,Notice_NO_6558,water,unknown,5296.0,cubic yards,sand placement,UNCATEGORIZED
40,Notice_NO_6558,dry land,unknown,6000.0,cubic yards,sand placement,UNCATEGORIZED
41,Notice_NO_6557,waters of the u.s. (wotus),unknown,0.989,acres,fill,LOSS
42,Notice_NO_6557,wotus bottom,unknown,0.413,acres,structure impacts,UNCATEGORIZED
43,Notice_NO_6557,mangrove,unknown,,unknown,plantings,UNCATEGORIZED
44,Notice_NO_6557,seagra,unknown,,unknown,plantings,UNCATEGORIZED
45,Notice_NO_6557,clam,unknown,,unknown,seeding,UNCATEGORIZED
